 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"420380 CANOINHAS";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;4;-;7
"420390 CAPINZAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;15;52
"420395 CAPIVARI DE BAIXO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"420400 CATANDUVAS";-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;5
"420410 CAXAMBU DO SUL";-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;86;-;71;-;160
"420415 CELSO RAMOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420420 CHAPECO";-;-;-;2;-;-;8;2;5;27;3;-;5;3;1;58;4;118;33;269
"420425 COCAL DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"420430 CONCORDIA";-;2;-;-;1;1;-;-;-;3;-;-;1;-;-;14;4;25;8;59
"420435 CORDILHEIRA ALTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;3;1;8
"420440 CORONEL FREITAS";-;-;-;-;-;-;-;-;-;59;-;-;-;6;-;54;13;17;4;153
"420445 CORONEL MARTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"420450 CORUPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;7
"420455 CORREIA PINTO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;1;5
"420460 CRICIUMA";-;1;-;-;-;-;2;-;-;-;1;-;-;3;-;-;4;6;-;17
"420470 CUNHA PORA";-;-;-;-;-;-;-;-;-;1;-;2;31;2;1;23;1;28;9;98
"420475 CUNHATAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14;-;15
"420480 CURITIBANOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;4;10
"420490 DESCANSO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;55;2;17;4;85
"420500 DIONISIO CERQUEIRA";-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;4;1;21;1;32
"420515 DOUTOR PEDRINHO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"420517 ENTRE RIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"420530 FAXINAL DOS GUEDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;-;8
"420535 FLOR DO SERTAO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;1;1;7
"420540 FLORIANOPOLIS";-;-;1;3;2;1;1;1;11;11;2;1;4;4;1;92;293;192;126;746
"420543 FORMOSA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;23;-;27
"420545 FORQUILHINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420550 FRAIBURGO";-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;1;1;-;7
"420560 GALVAO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;6;-;8
"420570 GAROPABA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;8;2;14
"420580 GARUVA";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;5;13;63;3;86
"420590 GASPAR";-;-;-;-;1;1;1;-;-;-;-;-;1;2;1;8;4;68;3;90
"420600 GOVERNADOR CELSO RAMOS";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;7;5;-;14
"420610 GRAO PARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420630 GUABIRUBA";-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;12;1;17
"420640 GUARACIABA";-;-;-;-;-;-;-;-;1;4;-;-;2;-;2;147;4;16;4;180
"420650 GUARAMIRIM";-;-;-;1;1;-;-;-;-;1;-;-;-;1;1;1;6;72;20;104
"420660 GUARUJA DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;19;-;75;3;100
"420665 GUATAMBU";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5;-;14;-;20
"420670 HERVAL D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;2;9
"420675 IBIAM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"420680 IBICARE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3
"420690 IBIRAMA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2;5;1;10
"420700 ICARA";-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;2;1;3;1;10
"420710 ILHOTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11;1;13
"420720 IMARUI";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;2;-;6
"420730 IMBITUBA";-;1;-;-;-;1;-;-;-;-;-;-;2;-;-;1;3;6;4;18
"420740 IMBUIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"420750 INDAIAL";-;-;-;-;-;-;-;-;1;2;3;1;-;3;-;1;1;68;2;82
"420757 IOMERE";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;5
"420760 IPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;1;13
"420765 IPORA DO OESTE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;87;8;27;-;123
"420768 IPUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;-;7
"420770 IPUMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"420775 IRACEMINHA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;4
"420785 IRATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;8;-;10
"420790 IRINEOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"420800 ITA";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;54;-;1;4;61
"420810 ITAIOPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;5
"420820 ITAJAI";-;-;-;4;1;-;2;-;20;9;6;1;5;2;6;8;55;265;43;427
"420830 ITAPEMA";-;-;-;-;-;-;1;-;2;1;-;-;12;3;-;12;64;67;68;230
"420840 ITAPIRANGA";-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;9;6;40;-;59
"420845 ITAPOA";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;6;68;17;93
"420850 ITUPORANGA";-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;5
"420860 JABORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;5
"420870 JACINTO MACHADO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;3
"420880 JAGUARUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;7
"420890 JARAGUA DO SUL";-;-;1;2;1;-;1;-;-;1;-;-;1;1;-;4;16;215;44;287
"420895 JARDINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"420900 JOACABA";-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;4;9
"420910 JOINVILLE";-;1;1;-;2;-;2;2;10;7;1;-;6;63;70;229;1091;2485;192;4162
"420915 JOSE BOITEUX";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3
"420917 JUPIA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;1;6
"420930 LAGES";-;1;-;-;-;2;1;-;-;1;-;-;-;-;-;-;2;10;6;23
"420940 LAGUNA";-;-;-;-;-;-;1;-;1;2;-;-;-;1;-;-;1;2;-;8
"420950 LAURENTINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"420960 LAURO MULLER";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420980 LEOBERTO LEAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"420990 LONTRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"421000 LUIZ ALVES";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;2;11
"421003 LUZERNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"421005 MACIEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"421010 MAFRA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;8;1;11
"421020 MAJOR GERCINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421030 MAJOR VIEIRA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"421040 MARACAJA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421050 MARAVILHA";-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;116;1;31;6;159
"421055 MAREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;5
"421060 MASSARANDUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;13;3;19
"421085 MIRIM DOCE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"421090 MODELO";-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;12;1;28
"421100 MONDAI";-;-;-;-;-;-;-;-;-;2;1;-;-;3;1;77;1;23;1;109
"421110 MONTE CASTELO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421120 MORRO DA FUMACA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421130 NAVEGANTES";-;1;-;-;2;-;-;-;1;-;2;-;5;9;15;8;27;122;9;201
"421140 NOVA ERECHIM";-;-;-;-;-;-;-;-;-;14;-;-;-;1;-;3;-;19;-;37
"421145 NOVA ITABERABA";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;3
"421150 NOVA TRENTO";-;-;-;-;-;-;-;2;1;1;-;-;5;2;-;-;-;14;2;27
"421160 NOVA VENEZA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421165 NOVO HORIZONTE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;7;-;10
"421170 ORLEANS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;6;2;10
"421175 OTACILIO COSTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"421180 OURO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;5;14
"421185 OURO VERDE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
"421190 PALHOCA";-;-;1;-;-;-;-;-;2;4;1;-;-;1;3;19;238;51;16;336
"421200 PALMA SOLA";-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;1;60;5;70
"421205 PALMEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421210 PALMITOS";-;-;-;1;-;2;-;-;2;3;1;1;1;3;-;82;12;79;5;192
"421220 PAPANDUVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"421223 PARAISO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;4;-;7
"421225 PASSO DE TORRES";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;4
"421227 PASSOS MAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"421240 PEDRAS GRANDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"421250 PENHA";-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;1;3;27;3;38
"421260 PERITIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421265 PESCARIA BRAVA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
"421270 PETROLANDIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"421280 BALNEARIO PICARRAS";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;8;24;4;39
"421290 PINHALZINHO";-;-;-;-;-;1;1;-;4;126;3;3;2;-;-;8;3;25;11;187
"421300 PINHEIRO PRETO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"421310 PIRATUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;10
"421315 PLANALTO ALEGRE";-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;2;-;10;-;16
"421320 POMERODE";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;5;27;2;36
"421335 PONTE ALTA DO NORTE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421340 PONTE SERRADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421350 PORTO BELO";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;6;5;18;15;46
"421360 PORTO UNIAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;8
"421370 POUSO REDONDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;6
"421380 PRAIA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421400 PRESIDENTE GETULIO";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;3;1;4;2;12
"421415 PRINCESA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;4
"421420 QUILOMBO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;11;34;6;64
"421430 RANCHO QUEIMADO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;3
"421440 RIO DAS ANTAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"421460 RIO DO OESTE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;3
"421470 RIO DOS CEDROS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;6
"421480 RIO DO SUL";-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;3;3;11
"421490 RIO FORTUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"421500 RIO NEGRINHO";-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;-;1;12;1;19
"421507 RIQUEZA";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5;1;15;-;23
"421510 RODEIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;6;-;8
"421520 ROMELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"421530 SALETE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;3
"421535 SALTINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
"421540 SALTO VELOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3;6
"421545 SANGAO";-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;2;-;6
"421550 SANTA CECILIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"421555 SANTA HELENA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7;1;8;1;18
"421565 SANTA ROSA DO SUL";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;6
"421569 SANTIAGO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;-;9
"421570 SANTO AMARO DA IMPERATRIZ";-;-;-;1;-;-;-;-;2;1;1;-;-;-;-;2;10;4;4;25
"421575 SAO BERNARDINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;1;5
"421580 SAO BENTO DO SUL";-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;3;9;1;16
"421590 SAO BONIFACIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"421600 SAO CARLOS";-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;10;2;37;-;53
"421610 SAO DOMINGOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3
"421620 SAO FRANCISCO DO SUL";-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;4;28;78;18;132
"421625 SAO JOAO DO OESTE";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;9;4;15;1;32
"421630 SAO JOAO BATISTA";-;-;-;-;-;-;2;-;1;-;-;-;1;2;2;1;11;19;17;56
"421635 SAO JOAO DO ITAPERIU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;6
"421640 SAO JOAO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421650 SAO JOAQUIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"421660 SAO JOSE";-;1;-;-;2;-;-;-;8;4;2;-;1;1;2;16;206;72;39;354
"421670 SAO JOSE DO CEDRO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11;-;6;-;18
"421690 SAO LOURENCO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;5;29;3;43
"421700 SAO LUDGERO";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;3;1;8
"421715 SAO MIGUEL DA BOA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"421720 SAO MIGUEL DO OESTE";-;-;-;-;-;-;-;-;-;5;1;-;-;1;-;12;1;19;2;41
"421725 SAO PEDRO DE ALCANTARA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;-;5
"421730 SAUDADES";-;-;-;-;-;-;-;-;-;42;1;-;-;1;-;13;27;32;-;116
"421740 SCHROEDER";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;8;3;15
"421750 SEARA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;57;2;25;9;95
"421755 SERRA ALTA";-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;3;1;9
"421760 SIDEROPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2
"421770 SOMBRIO";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3;-;-;5
"421775 SUL BRASIL";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;4
"421780 TAIO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6;1;8
"421790 TANGARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"421795 TIGRINHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;3;-;8
"421800 TIJUCAS";1;-;-;-;-;-;1;-;4;3;1;-;2;8;-;6;20;103;18;167
"421810 TIMBE DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"421820 TIMBO";-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;2;-;28;10;43
"421825 TIMBO GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421830 TRES BARRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;5
"421840 TREZE DE MAIO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"421850 TREZE TILIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;4
"421860 TROMBUDO CENTRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;4
"421870 TUBARAO";-;-;-;1;2;-;-;-;-;1;1;-;1;-;1;-;2;12;-;21
"421875 TUNAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;3;31;2;47
"421885 UNIAO DO OESTE";-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;1;4;1;1;12
"421910 VARGEAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"421917 VARGEM BONITA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"421930 VIDEIRA";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;10;43;57
"421935 VITOR MEIRELES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12;1;14
"421950 XANXERE";-;1;-;-;-;-;-;-;-;2;3;1;-;1;-;14;-;17;8;47
"421960 XAVANTINA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;28;7;7;-;43
"421970 XAXIM";-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;10;-;75;2;91
"421985 ZORTEA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4
"422000 BALNEARIO RINCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"430010 AGUDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;5
"430020 AJURICABA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;2;-;6
"430030 ALECRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"430040 ALEGRETE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3
"430045 ALEGRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;9;1;12
"430050 ALPESTRE";-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;1;2;18;5;30
"430060 ALVORADA";-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;27;10;74;121;235
"430064 AMETISTA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;2;20;16;67
"430070 ANTA GORDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;37;-;-;38
"430080 ANTONIO PRADO";-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;1;-;5
"430085 ARAMBARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430087 ARARICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430090 ARATIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;2;4;14
"430100 ARROIO DO MEIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;3;1;2;45
"430110 ARROIO DOS RATOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430120 ARROIO DO TIGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11;4;16
"430140 ARVOREZINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
"430150 AUGUSTO PESTANA";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;1;4;-;8
"430160 BAGE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;4
"430163 BALNEARIO PINHAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2
"430165 BARAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"430170 BARAO DE COTEGIPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;4
"430175 BARAO DO TRIUNFO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"430185 BARRA DO GUARITA";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;6;6;-;15
"430195 BARRA FUNDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;4
"430200 BARROS CASSAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"430210 BENTO GONCALVES";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;4;17;-;25
"430215 BOA VISTA DAS MISSOES";-;-;-;-;-;-;-;-;-;5;-;-;-;4;-;4;-;5;-;18
"430220 BOA VISTA DO BURICA";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;102;-;48;2;154
"430222 BOA VISTA DO CADEADO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"430225 BOA VISTA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"430235 BOM PRINCIPIO";-;-;-;-;-;-;-;-;-;-;-;-;7;1;-;1;2;3;1;15
"430237 BOM PROGRESSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"430240 BOM RETIRO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;5;7;17;1;71
"430245 BOQUEIRAO DO LEAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430250 BOSSOROCA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;3
"430258 BOZANO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;4
"430260 BRAGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;13
"430265 BROCHIER";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430280 CACAPAVA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"430290 CACEQUI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;4
"430300 CACHOEIRA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;1;31;48;95
"430310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;3;1;-;1;-;-;7;5;33;7;57
"430320 CACIQUE DOBLE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"430330 CAIBATE";-;-;-;-;-;-;-;-;47;-;-;-;-;1;-;1;-;14;-;63
"430340 CAICARA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;40;-;43
"430350 CAMAQUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"430355 CAMARGO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;3
"430370 CAMPINA DAS MISSOES";-;-;-;-;-;-;-;1;-;2;1;-;-;1;-;-;1;37;-;43
"430380 CAMPINAS DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;-;1;3;12
"430390 CAMPO BOM";-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;38;4;33;10;89
"430400 CAMPO NOVO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;27;-;28
"430420 CANDELARIA";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;14;16;33
"430430 CANDIDO GODOI";-;-;-;-;-;-;1;1;-;-;-;-;-;2;-;2;2;69;4;81
"430440 CANELA";-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;3;-;8
"430450 CANGUCU";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
